Variable,Coefficient
Scrim,40.01714371825538
TOT TD,19.951402626641222
Fmbl,-2.1715609734638326
Rec,20.47144482656588
Tgt,-0.4039619795345037
Att,-1.0496143340384412
Age,-1.2925752517364248
Rush yds,0.0
Rec yds,0.0
Y/R,-2.4630584262573785
Rec TD,-0.3754698732928154
Catch%,0.2466180765975929
Rush TD,-1.045318130025361
Yards/att,2.4119084709914484
Touch,-3.0786577524915044
Y/T,-0.9239092815165869
G,16.512242905749098
GS,11.073639582276414
cScrim,0.7653759491074444
cTOT TD,-0.09786308614330869
cFmbl,0.0
cRec,2.435953273001705
cTgt,0.8453996042171869
cAtt,1.0340090830647855
cRush yds,0.0
cRec yds,1.020571213825449
cY/R,0.0
cRec TD,-1.390350243240267
cCatch%,1.1609402391508639
cRush TD,-0.0
cY/A,1.1619576917385246
cTouch,0.0
cY/T,-1.8125022801557784
cG,-1.0061869353487565
cGS,-6.646262355729842
yInt,93.05691176470587
